,Rank,NCTId,PrimaryCompletionDate,BriefSummary,BriefTitle,ResponsiblePartyInvestigatorAffiliation,ResponsiblePartyInvestigatorFullName,PrimaryOutcomeDescription,Phase,Condition,ConditionMeshTerm,LocationCountry
407,408,NCT04339387,"April 26, 2020",The investigators seek to derive and validate a clinically useful risk score for patients with Coronavirus Disease 2019 to aide clinicians in the safe discharge of patients.,COVID-19 Risk Stratification,Brigham and Women's Hospital,David Levine,"Patient with COVID-19 who does not require supplemental oxygen, does not require intensive care unit-level care, and does not die.",,Coronavirus|Coronavirus Sars-Associated as Cause of Disease Classified Elsewhere,Coronavirus Infections|Severe Acute Respiratory Syndrome,United States
408,409,NCT04364737,"March 29, 2021","This is a randomized, blinded phase 2 trial that will assess the efficacy and safety of anti-SARS-CoV-2 convalescent plasma in hospitalized patients with acute respiratory symptoms requiring oxygen supplementation.",CONTAIN COVID-19: Convalescent Plasma to Limit COVID-19 Complications in Hospitalized Patients,,,"Uninfected 0 Uninfected; no viral RNA detected Ambulatory 1 Asymptomatic; viral RNA detected 2 Symptomatic; Independent 3 Symptomatic; assistance needed||Hospitalized:||Mild disease 4 Hospitalized; no oxygen therapy 5 Hospitalized; oxygen by mask or nasal prongs||Hospitalized:||Severe disease 6 Hospitalized; oxygen by NIV or High flow 7 Intubation & Mechanical ventilation; pO2/FIO2 >/= 150 or SpO2/FIO2 >/=200 8 Mechanical ventilation pO2/FIO2 < 150 (SpO2/FIO2 <200) or vasopressors 9 Mechanical ventilation pO2/FIO2 < 150 and vasopressors, dialysis or ECMO Death 10 Dead",Phase 2,COVID-19|Coronavirus|Coronavirus Infection,COVID-19|Coronavirus Infections,United States|United States|United States|United States|United States|United States|United States|United States|United States
409,410,NCT04425837,February 2021,"The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has affected the global population with significant morbidity and mortality. One of the main concerns is the management of the patients since there is no specific treatment for this condition. Therefore, in SARS-CoV-2 patients the compassionate use of off-label therapies has been initiated; such as the use of plasma from convalescent patients. This treatment has been used in other pandemics like SARS-CoV-1, H5N1, H1N1, Ebola, among others. This study is a phase II/III randomized clinical trial to assess the effectiveness and safety of convalescent plasma administration in patients with high-risk SARS-CoV-2.",Effectiveness and Safety of Convalescent Plasma in Patients With High-risk COVID-19,Fundación Santa Fe de Bogota,Guillermo Enrique Quintero-Vega,"Death of the patient (yes/no)|Presence of any of the following adverse events (yes/no):||Nonhemolytic febrile reactions|Allergic reactions|Acute hemolytic reactions|Non-immune hemolysis|Acute transfusion-related lung damage|Transfusion-related circulatory overload|Metabolic reactions|Hypotensive reactions|Delayed hemolytic reactions|Post transfusion purple|Graft versus host disease|Bacterial contamination of blood components|Viral infections|Other infections (syphilis, prions, malaria, Chagas, yellow fever, dengue)|Admitted to intensive care units (ICUs) (yes/no)|Mechanical ventilation requirement (yes/no)",Phase 2|Phase 3,Sars-CoV2|Covid-19,COVID-19,Colombia
410,411,NCT04904523,"June 30, 2023","Corona Virus Disease or COVID-19 is caused by SARS-CoV-2 virus. There have been reports of serious COVID-19 illness in children. In addition it has been linked to clusters of children presenting with high fevers and inflammation.||Sepsis, also called blood poisoning, is an abnormal response of the body to some infections. We aim to conduct research in children under 18 admitted to intensive care unit.||Using a systems approach towards mapping the body's immune and metabolic responses to COVID-19 or related illnesses and compare with other sepsis like illnesses.",Blood Markers for Identifying & Investigating Infection With COVID19 & Sepsis in Children.,,,To evaluate known blood molecular and genomic markers of infection in children and young persons with confirmed or probable COVID19 and compare with non COVID19 illnesses.,,Covid19|Sepsis,COVID-19|Sepsis|Toxemia,United Kingdom
411,412,NCT04724616,June 2021,Our study aims to investigate whether our CoronAviRus educaTional prOgram fOr children (CARTOON) facilitates the adherence to hygiene measures and is feasible to dispel fear in preschool children (3-6 years old) during the pandemic.,CARTOON: CoronAviRus (COVID-19) educaTional prOgram fOr childreN,Medical University of Vienna,Philipp Steinbauer,"For the assessment of emotional wellbeing, fear, and burden during the pandemic we will use the emotional scale which measure feelings including emotional wellbeing, fear, and burden.||Since it is often hard for children to describe their own feelings with words, we will use the emotional scales of Gräßler and colleagues. These scales use child-friendly illustrated pictures and can be used to support the children in naming their feelings including emotional wellbeing, fear, and burden.|The corona quiz consists of a 18-item questionnaire and covers theoretical and practical knowledge. Content validity of the knowledge test was reviewed by an expert panel consisting of three psychologists with expertise in children health, one kindergarten teacher, and one pediatrician.|Behavior will be assessed by using the parent and teacher reported Child Behavior Checklist (CBCL). The CBCL is a questionnaire for parents and teachers revealing behavioral problems of children and adolescents. In the CBCL/1.5-5, two evaluation methods are available. In the first evaluation method, questions are grouped in seven empirically based problem scales including emotionally reactive, anxious/depressed, aggressive behavior, attention problems, somatic complaints, sleep problems, and withdrawn.",Not Applicable,Covid19|Pediatric Psychiatric Disorder|Psychological Stress,"COVID-19|Mental Disorders|Problem Behavior|Stress, Psychological",Austria
412,413,NCT04400890,"March 1, 2021",Resveratrol is a plant polyphenol (that is sold commercially as a supplement) that might help fight coronavirus as well as help protect the body from the effects of disease (COVID-19) caused by the infection. In this proof-of-concept pilot study we will compare the effects of resveratrol to placebo to assess the safety of the resveratrol and explore effectiveness.,"Randomized Proof-of-Concept Trial to Evaluate the Safety and Explore the Effectiveness of Resveratrol, a Plant Polyphenol, for COVID-19",Mount Carmel Health System,"Marvin McCreary, MD",Proportion of study participants admitted to the hospital within 21 days of randomization,Phase 2,COVID-19,COVID-19,United States
413,414,NCT04896606,"December 31, 2024","The 2019 Severe Acute Respiratory Syndrome (SARS) is a global pandemic secondary to a novel coronavirus - SARS-CoV-2. The reported case-fatality ratio for SARS-CoV-2 in the United States is 1.8% with a current death toll of >300,000 and climbing.4 There is no accepted standard of care or FDA approved therapies for treatment of COVID-19. Virus specific cytotoxic T lymphocytes (CTLs) have become an important part of the treatment landscape for viral reactivation post hematopoietic and solid organ transplantation. Donor derived CTLs have been shown to be safe and effective against a variety of viruses including CMV, EBV, BK and adenovirus. We hypothesize that SARS-CoV-2 specific CTLs generated from a previously infected family donor will be safe and effective for treatment of COVID-19 in family members with mild to moderate disease.",SARS-CoV-2 CTLS for Mild to Moderate COVID-19 Disease,,,no adverse events will occur due to CTL infusion(s),Phase 1|Phase 2,Covid19,COVID-19,United States|United States|United States
414,415,NCT04748757,March 2022,"Randomized, double-blind, placebo-controlled trial comparing 2 doses of SY-005 (recombinant human Annexin A5) to placebo in patients with severe coronavirus 2019 disease in a single hospital centre with 2 intensive care units",Annexin A5 in Patients With Severe COVID-19 Disease,,,Participants enrolled per site per month with success defined as enrollment >= 50% of screened eligible patients|Delivery of investigational product within 1 hour of scheduled dose; success defined as >= 90%|Case Report Forms completed with <10% missing data after verification and monitoring,Phase 2,Coronavirus Infection|Sepsis,Coronavirus Infections,Canada
415,416,NCT04399356,"April 20, 2021","This study will evaluate the antihelmintic drug, Niclosamide, as a potential treatment for mild to moderate coronavirus disease 2019 (COVID-19).",Niclosamide for Mild to Moderate COVID-19,,,Oropharyngeal swabs,Phase 2,COVID-19,COVID-19,United States
416,417,NCT04398264,"March 31, 2021","In December 2019, Coronavirus infection (COVID-19) was identified as causing serious respiratory infection in humans. Initially COVID-19 was propagated by infected symptomatic individuals; currently the disease is disseminated by asymptomatic COVID-19 positive subjects. The prevalence of asymptomatic COVID-19 individuals is unknown.||Due its physiologic immune suppression, pregnancy is a vulnerable time for severe respiratory infections including COVID-19.||Limited information is available regarding the impact of COVID-19 in pregnancy and the prevalence and demographic profile of asymptomatic pregnant women.||Despite reports of 15-20% positive COVID-19 tests in women admitted to Labor and Delivery, professional obstetric medical societies still recommend not prioritizing testing of patients who are asymptomatic.||In the USA, COVID-19 symptomatic patients come predominantly from lower income, Black and Latino communities. No data are available on the rate and demographic distribution of asymptomatic positive COVID-19 pregnant women.||To minimize the risk of inadvertent exposure asymptomatic individuals, recently our institution started COVID-19 testing in all admitted pregnant women. The investigators expect to gain knowledge on the impact of COVID-19 in pregnant women especially if asymptomatic and compare to other respiratory infections.",Characteristics of COVID-19 Infection Among PREGnant Women,Inova Health System,Luis M. Gomez,Rate of asymptomatic pregnant women who test positive for COVID-19 at the time of hospital admission,,Corona Virus Infection|Pregnancy Related,Infections|Communicable Diseases|COVID-19|Coronavirus Infections,United States
417,418,NCT04644328,"January 14, 2021","Facebook ads will be shown before the Thanksgiving and Christmas holiday and will focus on staying safe during the COVID pandemic by limiting travel, social distancing and mask-wearing.",The Doctors for Coronavirus Prevention Project Thanksgiving / Christmas Messaging Campaign,"National Bureau of Economic Research, Inc.",Esther Duflo,"Specifically compute an indicator of the distance travelled away from home location, using the change in movement metric, which is the percentage change in distance covered in a day compared to the same day of the week in the benchmark period of February 2-29, 2020, by people who started the day in a particular location. We define holiday travel as travel during the three days preceding each holiday, since the available data does not allow us to compute the impact of the intervention on the return travel (after the holiday). The reason is that the mobility data describes the behavior throughout the day, for people who were in each county that morning. Since the campaign was targeted based on home location, we can only capture its impact on travel away from home, not back home.|stay put metric which is the share of people who stay within a small geographical area (a ""tile"" of 600m*600m in which they started the day). We use it to compute the leave home variable as = 1-stay put on the day of the holiday (Thanksgiving day, and Christmas eve and Christmas day).|study is the number of COVID-19 cases per fortnight. Beginning on 2020-11-12, biweekly, we recorded the cumulative number of cases in all study zip codes from the respective local public health authority's webpage . We then calculated fortnightly changes in detected COVID-19 cases using the cumulative daily case counts",Not Applicable,Covid19,Coronavirus Infections,United States
418,419,NCT04437823,"May 31, 2021","Stem cell therapy has emerged as a revolutionary treatment for diseases that were considered untreatable only a few years ago. Umbilical cord-derived mesenchymal stem cells (UCMSCs) have been shown to repair damaged liver, kidney, heart, pancreas, skin, cartilage, and cornea in animal models and several human trials. In addition to cellular replacement through regeneration, UCMSCs mediate through paracrine signaling pathways resulting in immune modulation. Clinical manifestations of coronavirus disease 2019 (COVID-19), are believed to arise from septic shock and cytokine storm that cause acute respiratory dysfunction and acute cardiac injury. There is presently no cure for the COVID-19 viral disease; however, multi-treatment strategies are being examined. During the past two months, four reports were published that suggest, mesenchymal stem cells (MSCs), owing to their powerful immunomodulatory ability, may prevent the cytokine storm and thus reduce the COVID-19 related morbidity. All studies reported that COVID-19 patients responded favorably to MSCs therapy. These reports, taken together with the previous successes of stem cell therapy in animal models, the investigators, a seven-institution consortium, propose to explore the efficacy of UCMSC treatment in COVID-19 patients at Jinnah hospital, Lahore. The investigators propose to administer UCMSCs in patients with acute pulmonary inflammation due to COVID-19 infection with moderate to severe symptoms. In the first cohort of 15 patients, UCMSCs will be administered with three intravenous infusions of 500,000 UCMSCs per Kg body weight each on days 1, 3, and 5. The second group of five patients serving as control will only receive standard treatment. During the 30-day post-infusion period, a battery of tests will be performed to evaluate the safety and efficacy of the UCMSCs treatment. In parallel, the investigators propose a comparative study to determine COVID-19 viral count by quantitative real-time PCR and through viral coat protein ELISA, developed in the investigator advisor lab (Dr. Tauseef Butt, Progenra Inc. Philadelphia, USA) with the ultimate objective to locally developing a rapid diagnostic assay.",Efficacy of Intravenous Infusions of Stem Cells in the Treatment of COVID-19 Patients,Jinnah Hospital,Prof. Sheikh Riazuddin,Number of participants with significant side effects in stem cell treated group|Assessment of Pneumonia improvement as a result of stem cell infusions,Phase 2,Corona Virus Infection,COVID-19|Coronavirus Infections,Pakistan
419,420,NCT04900415,"March 12, 2021",A combination of oral vitamin A (VitA) and intense aromatic chemosensory smell training (ST) by pulse aromatic stimulation will expedite the neurosensory recovery of olfaction in patients suffering from prolonged COVID-19-related olfactory dysfunction (OD).,Olfactory and Neurosensory Rehabilitation in COVID-19-related Olfactory Dysfunction,The University of Hong Kong,Ivan FN Hung MD,"Subjective olfactory assessment by the Sino-Nasal Outcome Test (SNOT-22).|Objective measurements of olfactory sensitivity, as determined by the detection of different concentrations of butanol.|Objective categorization of olfactory status by the smell identification test (SIT).",Phase 2,Coronavirus Disease 2019,COVID-19|Coronavirus Infections,Hong Kong|Hong Kong
420,421,NCT04299724,"July 31, 2023","In December 2019, viral pneumonia (Covid-19) caused by a novel beta-coronavirus (SARS-CoV-2) broke out in Wuhan, China. Some patients rapidly progressed and suffered severe acute respiratory failure and died, making it imperative to develop a safe and effective vaccine to treat and prevent severe Covid-19 pneumonia. Based on detailed analysis of the viral genome and search for potential immunogenic targets, a synthetic minigene has been engineered based on conserved domains of the viral structural proteins and a polyprotein protease. The infection of Covid-19 is mediated through binding of the Spike protein to the ACEII receptor, and the viral replication depends on molecular mechanisms of all of these viral proteins. This trial proposes to develop universal vaccine and test innovative Covid-19 minigenes engineered based on multiple viral genes, using an efficient lentiviral vector system (NHP/TYF) to express viral proteins and immune modulatory genes to modify artificial antigen presenting cells (aAPC) and to activate T cells. In this study, the safety and immune reactivity of this aAPC vaccine will be investigated.",Safety and Immunity of Covid-19 aAPC Vaccine,Shenzhen Geno-Immune Medical Institute,Lung-Ji Chang,"Frequency of vaccine events such as fever, rash, and abnormal heart function.|Frequency of serious vaccine events",Phase 1,Treat and Prevent Covid-19 Infection,COVID-19,China
421,422,NCT04568005,"August 1, 2020","The pandemic, which started in China at the end of 2019, appeared in our country in a short time. Most hospitals and physicians were only concerned with the treatment of these patients. One of the most victimized patient groups in this duration was lymphedema patients who were in need of continuous follow-up and rehabilitation at necessary periods, but were also at risk in terms of covid-19 infection and could not go to hospitals unless necessary. The treatment of both primary and secondary lymphedema patients has been interrupted or delayed. This process has affected the health status, treatment processes and quality of life of the lymphedema patient group. The current situation may have caused them anxiety and depression as a result of infection fear. In this study, we aimed to evaluate the treatment processes, health status, coronavirus phobia, anxiety, and depression states of the lymphedema patients .",Evaluation of Lymphedema Patients Status During Covid-19 Pandemic,,,"The CP19-S has 20 items which is a self-report instrument with a five-point Likert-type scale to assess the levels of coronavirus (covid-19) phobia. All items are rated on a 5 point scale from ""strongly disagree (1)"" to ""strongly agree (5)."" The scores on the scale can range between 20 and 100 and a higher score indicates a greater phobia in the respected subscales (psychological, psycho-somatic, economic and social) and total scale. In the present study total scale scores ranged from 20 to 100 .|The LYMQOL-Arm consists of four domains with 28 items. These domains are symptoms, appearance, function, and mood. The answers were evaluated on a four-point Likert scale (1= not at all 2= a little, 3= quite a bit, 4= a lot). Each item received a score between 1 and 4, with higher scores indicating a worse QOL. Domain totals were calculated by adding the individual scores and dividing the total by the number of questions answered (If >50% of questions per domain were not answered this cannot be calculated *and =0). If the item was not scored and left blank or not applicable, this was scored with a 0. The four domains and their corresponding questions are: Function 1 (a-h), 2,3, Appearance 4,5,6,7,8 Symptoms 9,10,11,12,13,14 and Emotion 15,16,17,18,19,20. Overall QOL (Q21) is scored as the value marked by the patient, between 0-10|The LYMQOL-Leg consists of 27 items: 26 multiple-choice questions and 1 rating question. It covers four domains: symptoms, appearance, function, and mood. Scoring and calculating is same with the arm scale but differences are; function 1 (a-f), 2,3 appearance 4,5,6,7,8,9,10 symptoms 11,12,13,14,15 and emotion 16,17,18,19,20,21. Overall quality of life (Q22) is scored as the value marked by the patient, between 0-10.|It consists of 14 items with two subscales (seven items for anxiety and seven items for depression). Each item is scored 0-3. Each subscale is scored between 0 and 21. The aim of the scale is not to make a diagnosis, but to determine the risk group bt screening anxiety and depression in a short time in patients with physical diseases. The cut-off points of the Turkish version of the HADS were determined as 10 for the anxiety subscale and 7 for the depression subscale.",,Lymphedema,COVID-19|Lymphedema,Turkey
422,423,NCT04367857,October 2021,"The novel coronavirus (SARS-CoV-2) has spread all around the world and testing has posed a challenge globally. Health care providers are highly exposed and are an important group to test. On top of these concerns, health care workers are also stressed by the needs on responders in the COVID-19 crisis. The investigators will look at different ways to measure how common COVID-19 is among health care workers, how common is the presence of antibodies by serological tests (also known as serostatus). The investigators will describe health worker mental and emotional well-being and their coping strategies in their institutional settings. Lastly, the investigators will describe how knowing serostatus can affect individuals' mental and emotional well-being and how to cope in the midst of the COVID-19 response. This will help to how to better test and help healthcare workers in the COVID-19 pandemic and prepare for possible future outbreaks.",ARMOR Study: COVID-19 Seroprevalence Among Healthcare Workers,,,"Percentage of health care workers with positive serological markers to describe patterns in exposure, re-infection, clinical symptom, serological responses among health care workers based on their baseline serological status over a one year period.",,Covid-19|Coronavirus Infection|Coronavirus,COVID-19|Coronavirus Infections,United States
423,424,NCT04326920,"September 28, 2020",Phase IV study to evaluate the effectiveness of additional inhaled sargramostim (GM-CSF) versus standard of care on blood oxygenation in patients with COVID-19 coronavirus infection and acute hypoxic respiratory failure.,Sargramostim in Patients With Acute Hypoxic Respiratory Failure Due to COVID-19 (SARPAC),"University Hospital, Ghent",Bart N. Lambrecht,by mean change in PaO2/FiO2 (PaO2=Partial pressure of oxygen; FiO2= Fraction of inspired oxygen),Phase 4,COVID-19,COVID-19|Respiratory Insufficiency,Belgium|Belgium|Belgium|Belgium
424,425,NCT04731870,January 2023,"The COVID-19 pandemic has highlighted deleterious US health inequities. Specifically, African Americans, Latinos, and Native Americans have and continue to shoulder a greater burden of COVID-19 infections and deaths in the US. In addition to existing racial and ethnic disparities are rural health and regional disparities. Given the disproportionate impact of disease in US communities of color and also in rural and southern regions of the US, there is no doubt that these at-risk subgroups will continue to experience higher rates of coronavirus-related mortality as well as other long-term health outcomes as compared to other US populations.||It is unknown how healthcare providers and other key at-risk subgroups within the US will receive COVID-19 vaccines. For success in immunizations, the US will need to reach their most at-risk and vulnerable populations. In addition to at-risk populations, a successful immunization strategy will involve engaging providers to support clear, consistent, and strong vaccine recommendation. It is critical to build vaccine trust, confidence, and overall acceptance of COVID-19 vaccines among healthcare providers and key at-risk subgroups, especially given the accelerated production timeline of these vaccines. Likewise, tailored vaccine messaging for key subgroups is vital in achieving vaccine confidence and trust.||The proposed study will explore perceptions, confidence, trust, and uptake of potential COVID-19 vaccines among healthcare providers (nurses and doctors) and key at-risk population subgroups (minority populations living in the rural south) and will develop and test vaccine messaging that boosts vaccine confidence and trust among these key at-risk subgroups.",Exploring Vaccine Confidence and Uptake of Potential COVID-19 Vaccines,,,"Confidence in the Covid-19 vaccine efficacy and safety among a cross-section of healthcare providers and key at-risk subgroups in the US|COVID-19 vaccine messaging (e.g. one or two sentences of culturally appropriate messages) that can be used to boost vaccine confidence and trust, and COVID-19 preventive behavior, among at-risk subgroups in the US (minority populations living in the rural south).|COVID-19 vaccine uptake or projected uptake among a cross-section of healthcare providers and key at-risk subgroups in the US|COVID-19 vaccine trust in the health system and public health authorities a cross-section of healthcare providers and key at-risk subgroups in the US|COVID-19 vaccine recommendation practices among a cross-section of healthcare providers in the US",,Coronavirus,COVID-19|Coronavirus Infections,
425,426,NCT04503447,"September 9, 2020","In Belgium, the corona virus disease 2019 (COVID-19) epidemic is in the growing phase of its second wave.||The Belgian crisis cell is balancing between allowing the economy to recover and minimize the disease spread. To decide which containment measures should be maintained, reinstalled or suspended, information on what proportion of people has been infected and on possible risk factors for virus transmission can be helpful.||This study will be conducted on staff members of the ITM. All staff members will be invited to participate. Participants will be asked to have a blood sample drawn for detections of antibodies against SARS-CoV-2 (using one of these two commercial assays: Anti-SARS-CoV-2 ELISA (EUROIMMUN) or WANTAI SARS-CoV-2 Ab ELISA (WANTAI SARS-CoV-2 Diagnostics)) and to complete a questionnaire about their exposure, both within and outside the ITM, to the SARS-CoV-2, and about their health and symptoms. The primary objective is to estimate the occurrence rate of anti-SARS-CoV-2 antibodies or seroprevalence in ITM staff. Secondary objective is to estimate the SARS-CoV-2 seroprevalence in ITM staff member groups, stratified by variables obtained through the questionnaire, such as age, gender, symptoms, exposure to COVID-19 patients/samples, comorbidities, adherence to containment measures.",COVID-19 Seroprevalence Study in ITM Staff,,,The proportion of participating ITM staff members with detectable SARS-CoV-2 antibodies,,Covid19,COVID-19,Belgium
426,427,NCT04342884,December 2021,"The purpose of this research is to collect information about the North Carolina community's coronavirus exposures, symptoms, and health care visits due to the virus. Participation in this study will involve completing a daily questionnaire which covers participants coronavirus illness history or symptoms, health care seeking behaviors and treatments, contact with other sick people, and for health care workers, their use of personal protective equipment.",COVID-19 Community Research Partnership,,,Percent of volunteers who are 2019-nCoV Ab test positive|Percent of volunteers who are 2019-nCoV Ab test positive,,Coronavirus|COVID,COVID-19,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States
427,428,NCT04321096,"January 31, 2022","SARS-CoV-2, one of a family of human coronaviruses, was initially identified in December 2019 in Wuhan city. This new coronavirus causes a disease presentation which has now been named COVID-19. The virus has subsequently spread throughout the world and was declared a pandemic by the World Health Organisation on 11th March 2020. As of 18 March 2020, there are 198,193 number of confirmed cases with an estimated case-fatality of 3%. There is no approved therapy for COVID-19 and the current standard of care is supportive treatment.||SARS-CoV-2 exploits the cell entry receptor protein angiotensin converting enzyme II (ACE-2) to access and infect human cells. The interaction between ACE2 and the spike protein is not in the active site. This process requires the serine protease TMPRSS2. Camostat Mesilate is a potent serine protease inhibitor. Utilizing research on severe acute respiratory syndrome coronavirus (SARS-CoV) and the closely related SARS-CoV-2 cell entry mechanism, it has been demonstrated that SARS-CoV-2 cellular entry can be blocked by camostat mesilate. In mice, camostat mesilate dosed at concentrations similar to the clinically achievable concentration in humans reduced mortality following SARS-CoV infection from 100% to 30-35%.",The Impact of Camostat Mesilate on COVID-19 Infection,,,"Clinical improvement defined as live hospital discharge OR a 2 point improvement (from time of enrolment) in disease severity rating on the 7-point ordinal scale|Days to clinical improvement from study enrolment defined no fever for at least 48 hrs AND improvement in other symptoms (e.g. cough, expectoration, myalgia, fatigue, or head ache)",Phase 1|Phase 2,Corona Virus Infection,Infections|Communicable Diseases|COVID-19|Coronavirus Infections,Denmark|Denmark|Denmark|Denmark|Denmark|Denmark|Denmark|Denmark|Denmark|Denmark|Sweden
428,429,NCT04542226,"July 15, 2020","The study is designed as an open observational non-comparative study of Polyoxidonium®, lyophilizate for solution for injections and topical application, 12 mg in hospitalized patients with coronavirus disease (COVID-19).",Observational Open Study of Polyoxidonium in Hospitalized Patients With COVID-19,,,"Subject clinical status using the 7-point Ordinal Scale, specified as the primary endpoint in the WHO Master Protocol on day 15 as compared to baseline||(1 - Not hospitalized, no limitations on activities; 2 - Not hospitalized, limitation on activities; 3 - Hospitalized, not requiring supplemental oxygen; 4 - Hospitalized, requiring supplemental oxygen; 5 - Hospitalized, on non-invasive ventilation or high flow oxygen devices; 6 - Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation; 7 - Death).",,"Infections, Coronavirus",Coronavirus Infections,Belarus|Russian Federation|Russian Federation|Russian Federation|Russian Federation
429,430,NCT04636021,"December 31, 2021",Pre-procedure and Short-Term COVID-19 Testing of Outpatients Undergoing Non-emergent Invasive Cardiovascular Procedures,Restoring Non-Emergent Cardiovascular Care in the Peri- COVID-19 Era,Pinnacle Health Cardiovascular Institute,William Bachinsky MD,,,Corona Virus Infection,COVID-19|Coronavirus Infections,United States
430,431,NCT04673292,August 2021,"This is randomized trial where households will be randomized to identify the optimal SARS-CoV-2 (COVID-19) testing modality in a population-representative sample of households in Baltimore City, Maryland. 1,386 households in Baltimore City will be randomized 1:1:1 to one of three testing modalities: 1) fixed-site standard of care testing; 2) community-based mobile van testing; or 3) self-collected home, based testing.",Community Collaboration to Combat COVID-19 (C-FORWARD),,,Time (in days) from randomization to the receipt of Coronavirus infection (SARS-CoV-2) testing results by the participant.,Not Applicable,Coronavirus Infection,Coronavirus Infections,United States
431,432,NCT04299152,"April 9, 2022","Currently, the growing epidemic of a new coronavirus infectious disease (Covid-19) is wreaking havoc worldwide, which is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). SARS-CoV-2 is a RNA virus that display high similarity in both genomic and proteomic profiling with SARS-CoV that first emerged in humans in 2003 in China. Therefore, preventing and controlling the pandemic occurrences are extremely urgent as a global top priority. Due to the lack of effective antiviral drugs, patients may be treated by only addressing their symptoms such as reducing fever. Clinical autopsies from SARS-CoV-infected patients demonstrated that there were major pathological changes in the lungs, immune organs, and small systemic blood vessels with vasculitis. However, the detection of SARS-CoV were primarily found in the lung and trachea/bronchus, but was undetectable in spleen, lymph nodes, bone marrow, heart and aorta, highlighting the overreaction of immune responses induced by viral infection were really harmful, resulting in the pathogenesis of lungs, immune organs, and small systemic blood vessels. To this respect, immune modulation strategy may be potentially beneficial to enhance anti-viral immunity and efficiently reduce the viral load, improve clinical outcomes, expedite the patient recovery, and decline the rate of mortality in patients after being infected with SARS-CoV-2. Tianhe Stem Cell Biotechnologies Inc. has developed a novel globally-patented Stem Cell Educator (SCE) technology designed to reverse the autoimmune response in Type 1 diabetes (T1D), Alopecia Areata (AA) and other autoimmune diseases. SCE therapy uses human multipotent cord blood stem cells (CB-SC) from human cord blood. Their properties distinguish CB-SC from other known stem cell types, including mesenchymal stem cells (MSC) and hematopoietic stem cells (HSC). Several clinical studies show that SCE therapy functions via CB-SC induction of immune tolerance in autoimmune T cells and restore immune balance and homeostasis in patients with T1D, AA and other inflammation-associated diseases. To correct the overreaction of overreaction of immune responses, the investigators plan to treat SARS-CoV-2 patients with Stem Cell Educator therapy.",Stem Cell Educator Therapy Treat the Viral Inflammation in COVID-19,,,The feasibility will be evaluated by the number of Covid-19 patients who were unable to complete SCE Therapy.,Phase 2,Severe Acute Respiratory Syndrome (SARS) Pneumonia,Severe Acute Respiratory Syndrome|Syndrome|Inflammation,
432,433,NCT04397588,"October 21, 2020",The role of ECMO in the treatment of patients with severe COVID-19 (Acute Respiratory Distress Syndrome (ARDS) and/or acute refractory heart failure) is not yet known. The present study will aim to report the results of the ECMO management of the most severe forms of COVID-19 through the first French ECMO registry.,Extracorporeal Membrane Oxygenation (ECMO) and Coronavirus Disease (COVID) 19,,,Hospital mortality,,ARDS Related to Severe Acute Respiratory Syndrome-Coronavirus (SARS-CoV) 2|Acute Refractory Heart Failure Related to SARS-CoV 2,Coronavirus Infections|Severe Acute Respiratory Syndrome|Heart Failure,France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France
433,434,NCT04355884,"May 1, 2020","Coronavirus Disease 2019 (COVID-19) emerged in December 2019, and in mere few months has resulted in a pandemic of viral pneumonia. Substantial proportion of patients with COVID-19 have biochemical evidence of myocardial injuries during the acute phase. Possible mechanisms including acute coronary events, cytokine storm, and COVID-19 related myocarditis, have been postulated for the cardiac involvement in COVID-19. It is uncertain whether COVID-19 survivors are at risk cardiac dysfunction including cardiac arrhythmia and heart failure.||The prospective screening study aims to evaluate the possible latent effects from COVID-19 in COVID-19 survivors. COVID-19 survivors 4-6 weeks after hospital discharge will be recruited from the Infectious Disease clinic, Queen Mary Hospital with standard 12-lead electrocardiogram, serum troponin, NT-proBNP, and standard transthoracic echocardiogram.||The outcome measures include (1) new onset cardiac arrhythmia, (2) N Terminal (NT)-proBNP elevation above the diagnostic range of heart failure, and (3) newly detected left ventricular dysfunction.",Opportunistic Screening for Asymptomatic Left Ventricular Dysfunction in Coronavirus Disease 2019 (COVID19) Survivors,,,"Atrial fibrillation, conduction block|Elevated NT-proBNP level above the age-specific diagnostic threshold of heart failure|Left ventricular systolic function",,COVID-19,"COVID-19|Ventricular Dysfunction|Ventricular Dysfunction, Left",Hong Kong
434,435,NCT04944121,"January 31, 2022","The purpose of this study is to assess the efficacy, safety and pharmacokinetics of RSLV-132 in subjects with long Corona Virus (COVID) syndome",Phase 2 Study of RSLV-132 in Subjects With Long COVID,,,Functional Assessment of Chronic Illness Therapy (FACIT) improvement of at least 6 points from Baseline at the end of treatment,Phase 2,Post-acute Corona Virus 19 (COVID-19) (Long COVID),COVID-19,United States|United States|United States|United States
